x1,x2,x3,choice_set,k
0.23,0.44,0.33,1,0.5
0.58,0.00,0.42,1,0.5
0.23,0.30,0.48,2,0.5
0.00,1.00,0.00,2,0.5
0.00,0.33,0.67,3,0.5
0.47,0.26,0.27,3,0.5
1.00,0.00,0.00,4,0.5
0.41,0.59,0.00,4,0.5
1.00,0.00,0.00,5,0.5
0.41,0.00,0.59,5,0.5
0.00,0.68,0.32,6,0.5
0.00,0.00,1.00,6,0.5
0.00,1.00,0.00,7,0.5
0.60,0.40,0.00,7,0.5
0.36,0.24,0.40,1,5
0.64,0.36,0.00,1,5
0.00,0.00,1.00,2,5
0.00,0.53,0.47,2,5
0.00,0.00,1.00,3,5
0.46,0.00,0.54,3,5
1.00,0.00,0.00,4,5
0.54,0.46,0.00,4,5
0.40,0.35,0.24,5,5
0.00,0.76,0.24,5,5
0.40,0.00,0.60,6,5
0.35,0.38,0.27,6,5
0.00,1.00,0.00,7,5
0.00,0.46,0.54,7,5
0.40,0.26,0.34,1,10
0.61,0.39,0.00,1,10
0.41,0.00,0.59,2,10
0.38,0.33,0.28,2,10
0.00,0.54,0.46,3,10
0.00,1.00,0.00,3,10
0.36,0.42,0.22,4,10
0.00,0.79,0.21,4,10
0.39,0.00,0.61,5,10
0.00,0.00,1.00,5,10
0.00,0.44,0.56,6,10
0.00,0.00,1.00,6,10
0.63,0.37,0.00,7,10
1.00,0.00,0.00,7,10
0.42,0.31,0.27,1,30
0.49,0.51,0.00,1,30
0.13,0.18,0.69,2,30
0.00,0.00,1.00,2,30
0.74,0.12,0.13,3,30
1.00,0.00,0.00,3,30
0.25,0.33,0.42,4,30
0.00,0.50,0.50,4,30
0.49,0.00,0.51,5,30
0.41,0.25,0.34,5,30
0.27,0.73,0.00,6,30
0.00,1.00,0.00,6,30
0.00,0.67,0.33,7,30
0.00,1.00,0.00,7,30
